Generacja,Bot_ID,Punkty,town_size,wood_percent,gold_percent,stone_percent,feudal_vills,castle_vills,boar_hunting,boar_hunters,max_lumber_camps,max_mining_camps,build_market,build_blacksmith,build_archery,build_stable,build_tower,militia_count,archer_count,skirm_count,scout_count,attack_percent,tech_loom,tech_wheelbarrow,tech_double_axe,tech_horse_collar,tech_gold_mining,tech_fletching,tech_padded_archer,tech_forging,tech_scale_mail,tech_bloodlines
1,4,3301,30,48,13,3,23,50,0,7,1,3,1,1,0,1,0,0,7,9,6,97,0,0,0,0,1,1,1,1,1,1
1,6,3132,37,31,15,0,19,33,0,6,2,1,0,0,1,1,1,0,10,10,3,55,0,1,0,0,1,1,1,1,1,0
1,2,3063,30,21,17,9,27,48,1,8,2,3,0,1,1,1,0,6,5,8,7,57,1,1,0,0,0,0,1,0,1,1
1,3,2837,48,42,20,2,24,42,1,8,1,1,0,1,1,1,0,6,15,7,3,64,1,0,1,0,0,1,1,0,1,0
1,7,2689,46,21,8,2,18,41,1,5,2,1,1,0,1,0,1,5,5,10,5,80,0,1,0,0,1,1,1,1,0,1
1,5,2472,57,30,12,9,21,38,1,7,2,3,1,0,1,1,1,1,12,4,7,99,0,0,1,1,0,0,1,0,1,1
1,1,2386,49,44,0,5,25,44,0,8,1,3,1,1,1,0,0,3,8,8,3,80,0,0,1,1,0,0,1,0,1,0
2,3,3017,30,48,13,3,23,50,0,8,1,3,0,1,0,1,0,0,15,9,3,64,1,0,0,0,0,1,1,1,1,0
2,2,3012,30,48,13,9,27,48,1,8,1,3,0,1,0,1,0,6,5,8,6,97,0,0,0,0,0,0,1,1,1,1
2,4,3005,30,21,17,9,27,48,1,6,2,1,0,0,1,1,1,6,5,10,7,57,1,1,0,0,0,1,1,0,1,1
2,5,2975,48,42,20,0,24,42,0,8,2,1,0,1,1,1,0,0,8,10,3,64,0,1,0,0,1,1,1,1,1,0
2,7,2284,30,48,13,3,23,50,0,7,1,3,1,0,0,1,0,0,7,8,6,97,0,0,0,0,1,1,1,1,1,1
2,6,2254,48,21,17,2,26,48,1,8,2,1,0,1,1,1,0,7,15,7,7,55,1,0,1,1,0,0,1,0,1,0
2,1,1176,30,48,15,0,23,33,0,6,1,1,0,0,0,1,0,0,9,9,3,91,0,1,0,0,1,1,1,0,1,1
3,1,3170,30,48,13,3,27,48,0,8,1,3,1,1,0,1,0,0,15,8,6,64,1,0,0,0,1,1,1,1,1,1
3,7,3157,30,48,13,3,23,50,0,8,1,3,0,1,0,1,0,0,15,9,3,64,1,1,0,0,0,1,1,1,1,0
3,5,3089,48,42,13,0,27,48,0,8,1,1,0,1,1,1,0,6,5,8,3,64,0,0,0,0,0,0,1,1,1,0
3,4,3086,30,48,17,9,27,48,1,6,1,1,0,0,1,1,1,6,5,10,6,97,1,0,0,0,0,1,1,1,1,1
3,2,2992,30,48,17,3,23,48,1,6,2,1,0,0,1,1,1,0,15,10,7,64,1,1,0,0,0,1,1,0,1,0
3,6,2947,48,21,17,9,24,48,0,8,2,1,0,1,1,1,0,0,5,10,3,57,0,1,0,0,1,1,1,0,1,1
3,3,1986,48,42,13,0,23,42,0,8,1,3,0,1,0,1,0,0,8,10,3,64,1,0,0,0,1,1,1,1,1,0
4,7,3226,30,48,13,3,27,48,0,8,1,3,1,1,0,1,0,0,14,8,6,64,1,0,0,0,1,1,1,1,1,1
4,1,3145,30,48,13,3,27,50,0,8,1,3,1,1,0,1,1,0,15,9,3,64,1,0,1,0,1,1,1,1,1,1
4,4,3073,30,48,12,0,23,50,1,8,1,1,0,1,1,1,0,6,5,9,3,64,1,0,0,0,0,1,1,1,1,0
4,5,2934,30,48,13,9,23,48,0,6,1,3,0,1,0,0,0,0,5,10,3,64,1,0,0,0,0,1,1,1,1,0
4,3,2929,30,48,13,9,27,48,0,6,1,3,1,0,1,1,1,6,15,10,6,97,1,0,0,0,0,1,1,1,1,1
4,2,2674,48,42,13,3,27,49,0,8,1,1,0,1,0,1,0,0,15,8,3,64,0,0,0,0,0,0,1,1,1,1
4,6,1858,30,44,13,9,27,48,1,8,1,1,0,0,1,1,1,6,5,8,3,64,1,0,1,0,0,1,1,0,1,0
5,4,3203,30,48,13,3,23,50,0,8,1,1,1,1,0,1,0,0,5,9,3,64,0,0,1,0,0,1,1,1,0,0
5,5,3079,30,46,13,3,23,48,0,8,1,3,1,1,0,1,1,0,5,9,3,64,1,0,1,0,0,0,1,1,1,1
5,1,3074,30,48,13,3,29,48,0,8,1,3,1,1,0,0,1,0,14,9,3,64,1,0,0,0,1,1,1,1,1,0
5,2,3056,30,48,12,0,23,48,1,8,1,3,0,1,1,1,0,6,14,9,3,64,1,0,0,0,0,1,1,1,1,1
5,7,3048,30,48,12,3,25,48,0,8,1,3,1,0,0,1,1,0,14,8,6,64,1,0,0,0,1,1,1,1,1,1
5,3,3010,30,48,13,9,27,48,0,6,1,3,1,1,0,0,0,0,14,8,6,64,1,0,0,0,0,1,1,1,1,1
5,6,2999,30,48,12,9,23,50,1,6,1,1,0,0,0,1,0,0,5,9,3,64,1,0,0,0,0,1,1,1,1,0
6,1,3142,30,46,13,3,24,48,0,8,1,3,1,1,0,0,1,0,5,9,3,64,0,0,1,0,0,1,1,1,1,1
6,7,3078,30,48,13,3,23,50,0,8,1,1,1,1,0,1,0,0,5,9,3,64,0,0,1,0,0,1,1,1,0,0
6,3,3039,30,48,12,3,23,48,1,8,1,1,0,1,1,1,0,7,5,9,3,64,1,0,1,0,0,1,1,1,1,1
6,6,3038,30,48,13,3,29,48,1,8,1,3,0,1,1,0,1,0,14,9,3,64,1,0,0,0,1,1,1,0,1,0
6,2,3021,30,48,13,3,28,48,0,8,1,3,1,1,0,1,1,0,5,9,3,64,1,0,0,0,1,1,1,1,0,0
6,5,2777,30,46,12,3,23,48,0,8,1,3,0,1,1,1,0,0,14,9,3,64,1,0,1,0,0,1,1,1,1,1
6,4,1895,30,46,13,3,23,48,0,8,1,3,1,1,0,1,1,0,14,9,3,64,1,0,0,0,1,0,1,1,1,0
7,1,1000,30,48,13,3,23,48,0,8,1,3,1,1,0,1,1,0,5,9,3,64,0,0,1,0,0,1,1,1,1,1
7,2,1000,30,46,12,3,21,48,0,8,1,1,0,1,0,1,1,7,7,9,3,64,0,0,1,0,0,1,1,1,1,1
7,3,1000,30,46,13,3,24,48,0,8,1,3,1,1,0,0,1,0,5,9,3,64,0,0,0,0,0,1,1,0,1,0
7,4,1000,30,48,13,3,25,48,0,8,1,1,0,1,0,1,0,7,5,10,3,64,1,0,1,0,0,1,1,1,1,1
7,5,1000,30,48,13,3,23,50,0,8,1,1,0,0,0,0,0,0,12,9,3,64,0,0,0,0,1,1,1,0,1,0
7,6,1000,30,48,13,3,23,48,1,7,1,1,0,1,1,0,0,7,14,9,3,64,0,0,0,0,0,1,1,0,1,0
7,7,1000,30,46,13,3,24,48,0,8,1,3,1,1,0,0,1,0,5,9,3,68,0,1,1,0,0,1,0,1,1,1
8,2,3078,30,46,13,3,23,48,0,8,1,3,1,1,0,1,1,2,5,9,3,64,0,0,0,0,0,1,1,1,1,1
8,7,3002,28,48,13,3,23,48,0,8,1,3,1,1,0,1,1,0,5,9,3,64,0,0,1,0,0,1,1,1,1,1
8,5,2898,30,46,12,3,21,48,0,7,1,1,0,1,0,1,0,7,7,10,3,64,1,0,1,0,0,1,1,1,1,1
8,3,2876,30,48,13,3,25,48,0,8,1,3,0,1,0,1,1,0,5,9,3,64,0,1,1,1,0,1,1,1,1,1
8,4,2741,30,46,12,3,23,48,0,8,1,1,1,1,0,1,1,7,7,9,3,64,0,0,1,0,0,1,1,1,1,0
8,1,2478,30,46,12,3,23,48,0,10,1,3,0,1,0,1,1,7,7,9,3,64,0,0,1,0,0,1,1,1,1,1
8,6,1778,30,43,13,0,25,48,0,8,1,1,0,1,0,1,1,0,5,9,3,64,0,0,1,0,0,1,1,0,1,0
9,6,3137,30,46,13,3,21,48,0,8,1,1,0,0,0,1,1,0,7,9,3,64,1,0,1,1,0,1,1,1,1,1
9,1,3105,30,48,13,3,23,48,0,8,1,3,1,1,0,1,1,2,5,9,3,64,0,0,1,0,0,0,1,1,1,1
9,7,3063,30,46,13,3,23,48,0,8,1,3,0,1,0,1,0,2,5,9,3,64,0,0,1,0,0,1,1,1,1,1
9,3,2973,30,48,13,3,25,48,0,8,1,3,1,0,0,1,0,1,5,9,3,64,0,1,1,0,0,1,1,1,1,1
9,4,2876,28,48,12,3,23,48,0,8,1,3,0,1,0,1,0,7,8,9,3,64,0,0,1,0,1,1,1,1,1,1
9,5,2838,28,48,13,3,25,48,0,8,1,3,1,1,0,1,1,0,5,9,3,64,0,0,1,0,0,1,1,1,1,1
9,2,2537,30,46,12,3,21,48,0,8,1,3,1,1,0,1,0,7,5,9,3,64,1,0,1,0,0,1,1,1,1,1
10,6,3194,30,48,13,3,25,48,0,8,1,3,0,1,0,1,0,1,5,9,3,64,0,1,1,0,0,1,1,1,1,1
10,4,3097,30,48,13,3,23,48,0,8,1,3,1,1,0,1,1,2,5,9,3,64,0,0,1,0,0,0,1,1,1,1
10,1,2978,30,46,13,3,23,48,0,8,1,3,0,0,0,1,1,2,5,9,3,64,1,0,1,0,0,1,1,1,1,1
10,3,2939,30,48,13,3,26,48,0,8,1,1,1,0,0,0,1,0,5,9,3,64,0,1,1,1,0,1,1,1,1,1
10,5,2870,30,48,13,3,25,48,0,8,1,3,1,0,0,1,1,2,5,9,3,64,0,1,1,1,0,0,1,0,1,1
10,2,2722,30,46,13,3,23,48,0,8,1,1,0,1,0,1,0,0,7,9,3,64,0,0,1,0,0,1,1,1,1,1
10,7,2154,30,46,13,3,21,48,0,8,1,1,0,0,0,1,1,0,7,10,3,64,1,0,1,1,0,1,1,1,1,0
11,2,3174,30,48,13,3,23,48,0,6,1,3,0,0,0,1,1,2,5,9,3,64,1,1,1,0,1,1,1,1,1,1
11,5,3166,30,48,13,3,23,48,0,8,1,1,1,1,0,0,1,2,5,9,3,64,0,1,1,1,0,0,1,1,1,1
11,1,3159,30,48,13,3,25,48,0,8,1,3,1,1,0,1,1,2,5,9,3,64,0,0,1,0,0,0,1,1,1,1
11,7,3111,30,48,13,3,25,48,0,8,1,3,0,1,0,1,0,1,5,9,3,64,0,1,1,0,0,1,1,1,1,1
11,4,3094,30,44,13,3,23,48,0,8,1,3,1,1,0,1,1,2,5,9,1,64,1,0,1,0,0,0,1,1,1,1
11,6,2594,30,46,13,3,23,48,0,8,1,3,0,0,0,1,1,0,5,9,4,64,0,0,1,1,0,1,0,1,1,1
11,3,2582,30,48,13,3,25,48,0,8,1,3,1,1,0,1,0,1,5,9,3,64,0,1,0,0,1,1,1,1,1,1
12,1,1000,30,48,13,0,23,46,0,8,1,3,1,1,0,1,1,2,5,9,3,64,1,1,1,0,1,0,0,1,1,1
12,2,1000,30,48,13,3,25,48,0,8,1,3,1,0,0,1,1,2,5,9,3,64,1,1,1,0,1,0,1,1,1,1
12,3,1000,30,48,13,3,23,48,0,8,1,3,0,1,0,1,0,2,5,9,3,64,0,1,1,0,0,1,1,1,1,1
12,4,1000,30,48,13,3,25,48,0,8,1,3,1,1,0,1,1,2,5,9,3,64,0,1,1,1,0,0,0,1,1,1
12,5,1000,30,48,13,3,23,48,0,8,1,1,1,1,0,0,1,1,7,9,3,64,0,1,1,0,0,0,0,1,1,1
12,6,1000,30,48,13,3,25,50,0,8,1,3,0,1,0,1,0,2,5,9,3,64,0,0,1,0,0,1,1,1,1,1
12,7,1000,30,48,13,3,23,48,0,6,1,3,0,0,0,1,1,2,5,9,3,64,1,1,1,0,1,1,1,1,1,1
13,1,1000,30,48,18,0,23,48,0,8,1,3,0,0,0,1,1,2,5,9,3,64,1,0,1,0,1,0,1,1,1,1
13,2,1000,30,48,13,0,23,48,0,8,1,3,0,1,0,1,1,2,5,9,3,64,0,1,1,0,0,0,0,1,1,1
13,3,1000,30,48,13,3,25,48,0,8,1,3,1,1,0,1,1,2,5,9,1,64,1,0,1,0,1,0,0,1,1,1
13,4,1000,31,48,13,3,23,48,0,8,1,3,1,1,0,1,0,2,5,9,3,64,0,1,1,0,0,1,1,1,1,1
13,5,1000,30,48,10,3,25,48,0,8,1,3,1,1,1,1,1,2,5,9,3,64,0,1,1,1,0,0,1,1,1,1
13,6,1000,30,46,13,3,23,48,1,8,1,3,1,1,1,1,0,2,5,9,3,64,0,1,1,0,0,1,0,1,1,1
13,7,1000,30,48,9,0,23,46,0,8,1,3,1,1,0,1,1,4,5,9,3,64,1,1,1,0,1,0,1,1,1,1
14,1,1000,30,48,18,0,23,48,0,8,1,3,0,1,0,1,1,4,5,9,3,64,0,0,1,0,0,0,0,1,1,1
14,2,1000,30,48,18,0,23,48,0,8,1,3,1,0,0,1,1,2,5,9,3,64,1,0,1,0,1,0,0,1,1,1
14,3,1000,31,48,13,0,23,48,0,8,1,3,1,0,0,1,0,2,5,9,3,64,0,0,1,0,1,1,1,1,1,1
